Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Eraser,1996-06-21,7.2,82,Chuck Russell,1 h 55 m,Action
Escobar: Paradise Lost,2015-06-26,6.5,23,Andrea Di Stefano,2 h,Crime
Game 6,2006-03-10,6.8,14,Michael Hoffman,1 h 27 m,Comedy
Hard Luck Love Song,2021-10-15,7.2,13,Justin Corsbie,1 h 44 m,Romance
Fever Pitch,2005-04-08,6.5,30,"Bobby Farrelly 
    
      Peter Farrelly",1 h 43 m,Comedy
Fever Pitch,1999-09-24,6.5,30,"Bobby Farrelly 
    
      Peter Farrelly",1 h 43 m,Comedy
Fever Pitch,1985-11-22,6.5,30,"Bobby Farrelly 
    
      Peter Farrelly",1 h 43 m,Comedy
In the Land of Blood and Honey,2011-12-23,3.2,87,Angelina Jolie,2 h 7 m,Drama
Down a Dark Hall,2018-08-17,5.0,25,Rodrigo Cortés,1 h 36 m,Drama
Winter Passing,2006-02-17,6.0,7,Adam Rapp,1 h 38 m,Comedy
Tag,2018-06-15,6.4,181,Jeff Tomsic,1 h 40 m,Action
Heart and Souls,1993-08-13,6.6,5,Ron Underwood,1 h 44 m,Comedy
Migration,2023-12-22,6.1,81,"Benjamin Renner 
    
      Guylo Homsy",1 h 23 m,Animation
Across the Universe,2007-09-14,7.1,103,Julie Taymor,2 h 13 m,Drama
Harsh Times,2006-11-10,8.1,62,David Ayer,1 h 56 m,Action
Jackass 3-D,2010-10-15,6.9,217,Jeff Tremaine,1 h 34 m,Documentary
A Knight's Tale,2001-05-11,7.3,179,Brian Helgeland,2 h 12 m,Action
A Dirty Shame,2004-09-24,4.7,15,John Waters,1 h 29 m,Comedy
How Stella Got Her Groove Back,1998-08-14,8.3,4,Kevin Rodney Sullivan,2 h 4 m,Comedy
The Two Jakes,1990-08-10,7.6,22,Jack Nicholson,2 h 17 m,Crime
Falling Down,1993-02-26,7.5,595,Joel Schumacher,1 h 53 m,Action
Guilty of Romance,2013-01-18,6.6,9,Sion Sono,2 h 24 m,Drama
The Dogs of War,1981-02-13,5.7,7,John Irvin,1 h 58 m,Action
Waterworld,1995-07-28,4.1,208,Kevin Reynolds,2 h 15 m,Action
Return to Paradise,1998-08-14,7.0,15,Joseph Ruben,1 h 51 m,Drama
Capital,2013-10-25,5.5,14,Costa-Gavras,1 h 54 m,Drama
Transporter 2,2005-09-02,3.8,355,Louis Leterrier,1 h 27 m,Action
Million Dollar Arm,2014-05-16,7.1,81,Craig Gillespie,2 h 4 m,Biography
Us and Them,2018-03-16,7.4,5,Joe Martin,1 h 23 m,Crime
Mimic,1997-08-22,8.1,197,Guillermo del Toro,1 h 45 m,Horror
God Bless America,2012-05-11,7.2,122,Bobcat Goldthwait,1 h 45 m,Action
Religulous,2008-10-03,7.3,63,Larry Charles,1 h 41 m,Documentary
Embattled,2020-11-20,6.0,5,Nick Sarkisov,1 h 57 m,Action
Jumping the Broom,2011-05-06,4.8,23,Salim Akil,1 h 48 m,Comedy
The Family Stone,2005-12-16,7.1,55,Thomas Bezucha,1 h 43 m,Comedy
The Glass Castle,2017-08-11,5.9,76,Destin Daniel Cretton,2 h 7 m,Biography
Rabid,1977-04-08,4.9,8,"Jen Soska 
    
      Sylvia Soska",1 h 47 m,Horror
Rabid,2019-12-13,4.9,8,"Jen Soska 
    
      Sylvia Soska",1 h 47 m,Horror
Genius,2016-06-10,6.6,48,Michael Grandage,1 h 44 m,Biography
A Nightmare on Elm Street 4: The Dream Master,1988-08-19,7.2,81,Renny Harlin,1 h 33 m,Horror
The Crazies,2010-02-26,6.8,152,Breck Eisner,1 h 41 m,Horror
Ibiza,2018-05-25,5.7,17,Alex Richanbach,1 h 34 m,Comedy
The Unknown Woman,2008-05-30,6.7,13,Giuseppe Tornatore,1 h 58 m,Drama
I'll Sleep When I'm Dead,2004-06-18,5.5,11,Mike Hodges,1 h 43 m,Crime
Radioactive,2020-07-24,5.1,23,Marjane Satrapi,1 h 49 m,Biography
The Wandering Earth II,2023-01-20,6.9,50,Frant Gwo,2 h 53 m,Action
The Cut,2015-09-18,5.9,7,Fatih Akin,2 h 18 m,Adventure
Cabin Fever,2003-09-12,6.0,338,Eli Roth,1 h 33 m,Horror
Cabin Fever,2016-02-12,6.0,338,Eli Roth,1 h 33 m,Horror
Race,2016-02-19,6.4,80,Stephen Hopkins,2 h 14 m,Biography
Our Time,2019-06-14,7.8,8,Carlos Reygadas,2 h 57 m,Drama
The End of Love,2013-03-01,5.5,6,Mark Webber,1 h 29 m,Drama
Old Man,2022-10-14,5.5,4,Lucky McKee,1 h 37 m,Thriller
Midnight's Children,2013-04-26,5.4,5,Deepa Mehta,2 h 26 m,Drama
Bad Behaviour,2024-06-14,9.9,52,Alice Englert,1 h 49 m,Comedy
On the Road,2012-12-21,5.9,68,Walter Salles,2 h 4 m,Adventure
You're Not You,2014-10-10,6.7,19,George C. Wolfe,1 h 42 m,Drama
The Details,2012-11-02,8.4,24,Jacob Estes,1 h 31 m,Comedy
Boy Culture,2007-03-23,4.5,8,Q. Allan Brocka,1 h 28 m,Drama
Watchmen,2009-03-06,8.4,1795,Zack Snyder,2 h 42 m,Action
The Omega Man,1971-08-01,4.9,14,Boris Sagal,1 h 38 m,Action
Saints and Soldiers,2004-10-15,7.4,18,Ryan Little,1 h 30 m,Action
The Chorus,2005-01-14,7.6,43,Christophe Barratier,1 h 37 m,Drama
Mermaids,1990-12-14,7.5,13,Richard Benjamin,1 h 50 m,Comedy
Lords of Dogtown,2005-06-03,6.6,36,Catherine Hardwicke,1 h 47 m,Biography
Diary of a Wimpy Kid,2010-03-19,6.4,120,Thor Freudenthal,1 h 34 m,Comedy
Invaders from Mars,1986-06-06,4.4,5,Tobe Hooper,1 h 40 m,Horror
Focus,2015-02-27,6.3,4,Neal Slavin,1 h 46 m,Drama
Focus,2001-10-19,6.3,4,Neal Slavin,1 h 46 m,Drama
Blue in the Face,1995-10-13,7.5,18,"Paul Auster 
    
      Wayne Wang 
    
      Harvey Wang",1 h 23 m,Comedy
Live Cargo,2017-03-31,8.0,4,Logan Sandler,1 h 28 m,Drama
Nighthawks,1981-04-10,6.6,14,"Bruce Malmuth 
    
      Gary Nelson 
    
      Sylvester Stallone",1 h 39 m,Action
How to Eat Fried Worms,2006-08-25,5.4,8,Bob Dolman,1 h 38 m,Comedy
Leatherheads,2008-04-04,5.3,28,George Clooney,1 h 54 m,Comedy
Tom of Finland,2017-10-13,7.1,10,Dome Karukoski,1 h 55 m,Biography
Paper Towns,2015-07-24,6.3,185,Jake Schreier,1 h 49 m,Adventure
The Five Senses,2000-07-14,6.5,4,Jeremy Podeswa,1 h 46 m,Comedy
The Big Kahuna,2000-04-28,7.2,15,John Swanbeck,1 h 30 m,Drama
Antibirth,2016-09-02,4.4,5,Danny Perez,1 h 34 m,Comedy
Once Upon a Time in Mexico,2003-09-12,8.5,235,Robert Rodriguez,1 h 42 m,Action
Cruel Intentions,1999-03-05,8.4,418,Roger Kumble,1 h 37 m,Drama
Hocus Pocus 2,2022-09-30,4.5,131,Anne Fletcher,1 h 43 m,Comedy
Hyena,2015-05-01,6.2,6,Gerard Johnson,1 h 52 m,Crime
1BR,2020-04-24,6.3,12,David Marmor,1 h 30 m,Drama
Percy Vs Goliath,2021-04-30,6.6,9,Clark Johnson,1 h 39 m,Biography
The Fate of the Furious,2017-04-14,6.9,763,F. Gary Gray,2 h 16 m,Action
It's All Gone Pete Tong,2005-04-15,7.6,18,Michael Dowse,1 h 30 m,Biography
Quick Change,1990-07-13,6.5,26,"Howard Franklin 
    
      Bill Murray",1 h 29 m,Comedy
Midnight in the Garden of Good and Evil,1997-11-21,6.3,25,Clint Eastwood,2 h 35 m,Crime
Little Accidents,2015-01-16,5.3,4,Sara Colangelo,1 h 45 m,Drama
DC League of Super-Pets,2022-07-29,6.2,110,Jared Stern,1 h 45 m,Animation
Decoding Annie Parker,2014-05-02,7.5,6,Steven Bernstein,1 h 31 m,Drama
Storks,2016-09-23,6.2,134,"Nicholas Stoller 
    
      Doug Sweetland",1 h 27 m,Animation
Valkyrie,2008-12-25,7.0,172,Bryan Singer,1 h 55 m,Drama
Douchebag,2010-10-01,8.9,17,Drake Doremus,1 h 21 m,Comedy
Don't Be Afraid of the Dark,2011-08-26,5.2,131,Troy Nixey,1 h 39 m,Fantasy
Drive-Away Dolls,2024-02-23,4.5,52,Ethan Coen,1 h 24 m,Action
Date Night,2010-04-09,6.1,187,Shawn Levy,1 h 28 m,Comedy
Driving Lessons,2006-10-13,6.4,5,Jeremy Brock,1 h 38 m,Comedy
The DUFF,2015-02-20,6.6,119,Ari Sandel,1 h 41 m,Comedy
Loro,2019-09-20,7.0,8,Paolo Sorrentino,2 h 38 m,Biography
French Exit,2021-02-12,5.9,21,Azazel Jacobs,1 h 50 m,Comedy
The Arrival,1996-05-31,6.3,16,David Twohy,1 h 55 m,Mystery
Hellraiser,1987-09-18,8.4,249,Clive Barker,1 h 34 m,Horror
Hellraiser,2022-10-07,8.4,249,Clive Barker,1 h 34 m,Horror
Sabrina,1995-12-15,7.6,65,Billy Wilder,1 h 53 m,Comedy
Sylvia,2003-10-17,8.7,6,Christine Jeffs,1 h 50 m,Biography
Anna and the King,1999-12-17,6.1,23,Andy Tennant,2 h 28 m,Drama
Danny Deckchair,2004-08-11,5.8,5,Jeff Balsmeyer,1 h 40 m,Comedy
The Man from U.N.C.L.E.,2015-08-14,7.5,608,Guy Ritchie,1 h 56 m,Action
The Brave One,2007-09-14,7.0,60,Neil Jordan,2 h 2 m,Action
Wolf Creek,2005-12-25,6.6,74,Greg McLean,1 h 39 m,Horror
Minions,2015-07-10,6.3,676,"Kyle Balda 
    
      Pierre Coffin",1 h 31 m,Animation
Real Steel,2011-10-07,7.2,442,Shawn Levy,2 h 7 m,Action
Wall Street,1987-12-11,8.4,144,Oliver Stone,2 h 6 m,Crime
War Machine,2017-05-26,6.1,90,David Michôd,2 h 2 m,Comedy
For No Good Reason,2014-04-25,8.3,6,Charlie Paul,R,Documentary
Unknown,2011-02-18,8.4,90,Simon Brand,1 h 25 m,Crime
Unknown,2006-11-03,8.4,90,Simon Brand,1 h 25 m,Crime
The Rum Diary,2011-10-28,6.3,131,Bruce Robinson,1 h 50 m,Comedy
Take Me,2017-05-05,6.4,14,Pat Healy,1 h 23 m,Comedy
Ramona and Beezus,2010-07-23,7.7,71,Elizabeth Allen Rosenbaum,1 h 43 m,Comedy
Filth,2014-05-30,5.6,198,Jon S. Baird,1 h 37 m,Action
Rollerball,1975-06-25,1.9,50,John McTiernan,1 h 38 m,Action
Rollerball,2002-02-08,1.9,50,John McTiernan,1 h 38 m,Action
Breaking and Entering,2006-12-15,6.9,13,Anthony Minghella,2 h,Crime
Return to Space,2022-04-07,5.4,14,"Jimmy Chin 
    
      Elizabeth Chai Vasarhelyi",2 h 8 m,Documentary
Bamboozled,2000-10-06,5.9,18,Spike Lee,2 h 15 m,Comedy
Doc Hollywood,1991-08-02,7.6,9,Michael Caton-Jones,1 h 44 m,Comedy
Hereafter,2010-10-15,6.1,165,Clint Eastwood,2 h 9 m,Drama
The Croods: A New Age,2020-11-25,4.8,155,Joel Crawford,1 h 35 m,Animation
The Anniversary Party,2001-06-08,6.6,8,"Alan Cumming 
    
      Jennifer Jason Leigh",1 h 55 m,Comedy
Phone Booth,2003-04-04,8.7,506,Joel Schumacher,1 h 21 m,Crime
CQ,2002-05-24,7.0,7,Roman Coppola,1 h 28 m,Comedy
Men of Honor,2000-11-10,7.3,56,George Tillman Jr.,2 h 9 m,Biography
The Minus Man,1999-09-10,1.4,54,Hampton Fancher,1 h 51 m,Crime
Troy,2004-05-14,8.5,671,Wolfgang Petersen,2 h 43 m,Adventure
The Ladykillers,2004-03-26,5.9,76,"Ethan Coen 
    
      Joel Coen",1 h 44 m,Comedy
Phoebe in Wonderland,2009-03-06,7.8,9,Daniel Barnz,1 h 36 m,Drama
Fast X,2023-05-19,4.8,285,Louis Leterrier,2 h 21 m,Action
Maleficent,2014-05-30,6.8,760,Robert Stromberg,1 h 37 m,Action
Throw Momma from the Train,1987-12-11,6.5,18,Danny DeVito,1 h 28 m,Comedy
Bottle Shock,2008-08-06,6.0,15,Randall Miller,1 h 50 m,Comedy
Boss Level,2021-03-05,6.9,104,Joe Carnahan,1 h 34 m,Action
Pretty in Pink,1986-02-28,8.2,68,Howard Deutch,1 h 36 m,Comedy
December Boys,2007-09-14,6.1,18,Rod Hardy,1 h 45 m,Drama
Then She Found Me,2008-04-25,5.3,4,Helen Hunt,1 h 40 m,Comedy
The Pale Blue Eye,2022-12-23,6.5,113,Scott Cooper,2 h 8 m,Crime
Manglehorn,2015-06-19,5.1,24,David Gordon Green,1 h 37 m,Drama
The Man Who Knew Infinity,2016-04-29,7.2,58,Matt Brown,1 h 48 m,Biography
Ghostbusters II,1989-06-16,7.0,252,Ivan Reitman,1 h 48 m,Action
Alex of Venice,2015-04-17,7.9,14,Chris Messina,1 h 26 m,Drama
Kundo: Age of the Rampant,2014-08-29,7.1,8,Jong-bin Yoon,2 h 17 m,Action
My Girl,1991-11-27,8.2,30,Howard Zieff,1 h 42 m,Comedy
Dinner for Schmucks,2010-07-30,5.5,216,Jay Roach,1 h 54 m,Comedy
Death Becomes Her,1992-07-31,8.3,91,Robert Zemeckis,1 h 44 m,Comedy
Butt Boy,2020-04-14,4.8,6,Tyler Cornack,1 h 39 m,Crime
The Recruit,2003-01-31,5.9,66,Roger Donaldson,1 h 55 m,Action
Ned Kelly,2004-03-26,6.4,29,Gregor Jordan,1 h 50 m,Action
Dinosaur,2000-05-19,6.9,113,"Eric Leighton 
    
      Ralph Zondag",1 h 22 m,Animation
The Cable Guy,1996-06-14,8.0,110,Ben Stiller,1 h 36 m,Comedy
Alive,1993-01-15,6.5,21,Frank Marshall,2 h,Biography
Iceberg Slim: Portrait of a Pimp,2013-07-19,5.8,5,Jorge Hinojosa,1 h 29 m,Documentary
2 Days in the Valley,1996-09-27,5.8,5,John Herzfeld,1 h 44 m,Comedy
The Fluffy Movie,2014-07-25,6.9,14,"Manny Rodriguez 
    
      Jay Lavender",1 h 41 m,Documentary
The Monk,2013-03-08,5.0,4,Dominik Moll,1 h 41 m,Drama
The Yellow Birds,2018-06-15,7.8,6,Alexandre Moors,1 h 34 m,Drama
Joy,2015-12-25,6.5,292,David O. Russell,2 h 4 m,Biography
The Three Stooges,2012-04-13,5.9,124,"Bobby Farrelly 
    
      Peter Farrelly",1 h 32 m,Comedy
Betty Blue,1986-11-07,8.6,8,Jean-Jacques Beineix,2 h,Drama
Summerland,2020-07-31,6.7,17,Jessica Swale,1 h 39 m,Drama
Wassup Rockers,2006-06-23,6.8,6,Larry Clark,1 h 51 m,Adventure
Steel Magnolias,1989-11-22,7.4,22,Herbert Ross,1 h 57 m,Comedy
The Extra Man,2010-07-30,5.3,11,"Shari Springer Berman 
    
      Robert Pulcini",1 h 45 m,Comedy
That Sugar Film,2015-07-31,6.8,28,Damon Gameau,1 h 30 m,Documentary
Black Rain,1989-09-22,7.2,9,Peter Weir,1 h 46 m,Drama
Monsters vs Aliens,2009-03-27,6.6,227,"Rob Letterman 
    
      Conrad Vernon",1 h 34 m,Animation
Mr. Bean's Vacation,2007-08-24,6.7,99,Steve Bendelack,1 h 30 m,Comedy
W.,2008-10-17,5.9,36,Oliver Stone,2 h 9 m,Biography
The Extraordinary Journey of the Fakir,2019-06-21,7.9,7,Ken Scott,1 h 32 m,Adventure
Zack and Miri Make a Porno,2008-10-31,6.3,130,Kevin Smith,1 h 41 m,Comedy
Kamikaze Girls,2005-09-09,5.1,14,Tetsuya Nakashima,1 h 42 m,Comedy
Twilight,2008-11-21,4.4,603,Catherine Hardwicke,2 h 2 m,Drama
Bokeh,2017-03-24,5.2,12,"Geoffrey Orthwein 
    
      Andrew Sullivan",1 h 32 m,Drama
Max,2002-12-27,6.8,4,Menno Meyjes,1 h 46 m,Drama
Max,2015-06-26,6.8,4,Menno Meyjes,1 h 46 m,Drama
The Manson Family,2004-10-22,3.8,6,Jim Van Bebber,1 h 35 m,Crime
Live and Let Die,1973-06-27,6.3,78,Guy Hamilton,2 h 1 m,Action
Edge of Darkness,2010-01-29,6.3,88,Martin Campbell,1 h 57 m,Action
The Merry Gentleman,2009-05-01,4.6,5,Michael Keaton,1 h 50 m,Crime
The Beach Bum,2019-03-29,5.4,79,Harmony Korine,1 h 35 m,Comedy
Dom Hemingway,2014-04-02,6.4,56,Richard Shepard,1 h 33 m,Comedy
Touchy Feely,2013-09-06,5.4,11,Lynn Shelton,R,Comedy
Mommie Dearest,1981-09-25,7.0,5,Frank Perry,2 h 9 m,Biography
A Jihad for Love,2008-05-21,4.8,6,Parvez Sharma,1 h 21 m,Documentary
The Getaway,1972-12-13,8.0,10,Sam Peckinpah,2 h 3 m,Action
The Getaway,1994-02-11,8.0,10,Sam Peckinpah,2 h 3 m,Action
The Foreigner,2017-10-13,7.1,201,Martin Campbell,1 h 53 m,Action
Pacific Heights,1990-09-28,7.9,26,John Schlesinger,1 h 42 m,Thriller
Prefontaine,1997-01-24,7.4,10,Steve James,1 h 46 m,Biography
The Hot Spot,1990-10-12,6.9,12,Dennis Hopper,2 h 10 m,Crime
I'm So Excited,2013-06-28,5.7,38,Pedro Almodóvar,1 h 30 m,Comedy
A Tale of Love and Darkness,2016-08-19,5.9,12,Natalie Portman,1 h 35 m,Biography
Back to the Future Part III,1990-05-25,8.1,522,Robert Zemeckis,1 h 58 m,Adventure
The Terminal,2004-06-18,8.0,359,Steven Spielberg,2 h 8 m,Comedy
Antiviral,2013-04-12,5.8,27,Brandon Cronenberg,1 h 48 m,Horror
Series 7: The Contenders,2001-03-02,5.0,5,Daniel Minahan,1 h 26 m,Comedy
Mad Love,2002-08-30,5.5,4,Vicente Aranda,1 h 55 m,Biography
Vision Quest,1985-02-15,6.8,4,Harold Becker,1 h 47 m,Drama
Safety,2020-12-11,6.3,4,Reginald Hudlin,2 h 2 m,Biography
Friends with Kids,2012-03-09,5.9,72,Jennifer Westfeldt,1 h 49 m,Comedy
Extraterrestrial,2012-06-15,6.9,8,Nacho Vigalondo,1 h 35 m,Comedy
Extraterrestrial,2014-11-21,6.9,8,Nacho Vigalondo,1 h 35 m,Comedy
Man of Steel,2013-06-14,7.6,4232,Zack Snyder,2 h 23 m,Action
Quid Pro Quo,2008-06-13,4.8,4,Carlos Brooks,1 h 22 m,Drama
A Bag of Marbles,2018-03-23,7.5,4,Christian Duguay,1 h 50 m,Biography
Payback,2012-04-25,8.4,189,Brian Helgeland,1 h 40 m,Action
Payback,1999-02-05,8.4,189,Brian Helgeland,1 h 40 m,Action
Escaflowne: The Movie,2002-01-25,5.8,11,Kazuki Akane,1 h 38 m,Adventure
The Fog,1980-02-08,2.4,77,Rupert Wainwright,1 h 40 m,Horror
The Fog,2005-10-14,2.4,77,Rupert Wainwright,1 h 40 m,Horror
American Fable,2017-02-17,6.0,13,Anne Hamilton,Not Rated,Thriller
"For a Good Time, Call...",2012-08-31,6.8,26,Jamie Travis,1 h 25 m,Comedy
A Christmas Carol,2009-11-06,7.0,173,Robert Zemeckis,1 h 38 m,Animation
Offseason,2022-03-11,4.3,8,Mickey Keating,1 h 23 m,Drama
Desperado,1995-08-25,8.5,271,Robert Rodriguez,1 h 44 m,Action
Exporting Raymond,2011-04-29,7.3,6,Phil Rosenthal,1 h 26 m,Documentary
Hunt,2022-12-02,6.2,5,Lee Jung-jae,2 h 11 m,Action
En soap,2006-11-03,4.4,5,Pernille Fischer Christensen,1 h 44 m,Comedy
Yes,2005-06-24,8.3,11,Sally Potter,1 h 40 m,Drama
The Woman in Red,1984-08-15,6.8,9,Gene Wilder,1 h 27 m,Comedy
The Ministry of Ungentlemanly Warfare,2024-04-19,6.6,133,Guy Ritchie,2 h,Action
A Christmas Story Christmas,2022-11-17,9.2,253,Clay Kaytis,1 h 38 m,Comedy
Almost Christmas,2016-11-11,5.1,14,David E. Talbert,1 h 51 m,Comedy
Becoming Jane,2007-08-03,6.5,33,Julian Jarrold,2 h,Biography
Driven,2019-08-16,7.7,86,Renny Harlin,1 h 56 m,Action
Driven,2001-04-27,7.7,86,Renny Harlin,1 h 56 m,Action
A Real Young Girl,2001-06-01,3.6,5,Catherine Breillat,1 h 29 m,Drama
Taking Woodstock,2009-08-26,6.6,29,Ang Lee,2 h,Biography
The Relic,1997-01-10,7.3,76,Peter Hyams,1 h 50 m,Horror
Green Street Hooligans,2005-09-09,8.1,119,Lexi Alexander,1 h 49 m,Crime
The Eagle,2011-02-11,6.2,106,Kevin Macdonald,1 h 54 m,Action
Strange But True,2019-09-06,6.2,11,Rowan Athale,1 h 36 m,Drama
The Eye of the Storm,2012-09-07,6.2,5,Fred Schepisi,1 h 59 m,Drama
Some Kind of Wonderful,1987-02-27,7.9,36,Howard Deutch,1 h 35 m,Drama
The Devil All the Time,2020-09-16,7.6,276,Antonio Campos,2 h 18 m,Crime
The Brothers Bloom,2009-05-15,8.4,155,Rian Johnson,1 h 54 m,Action
The Karate Kid Part II,1986-06-20,7.1,50,John G. Avildsen,1 h 53 m,Action
Cloud Atlas,2012-10-26,8.2,1120,"Tom Tykwer 
    
      Lana Wachowski 
    
      Lilly Wachowski",2 h 52 m,Drama
The Attorney,2014-02-07,6.3,4,Woo-seok Yang,2 h 7 m,Crime
Casi divas,2009-08-21,3.2,5,Issa López,1 h 47 m,Comedy
Clifford the Big Red Dog,2021-11-10,6.1,46,Walt Becker,1 h 36 m,Adventure
Hitchcock,2012-11-23,6.7,137,Sacha Gervasi,1 h 38 m,Biography
Ordinary World,2016-10-14,6.0,18,Lee Kirk,1 h 26 m,Comedy
J.T. Leroy,2019-04-26,6.0,4,Justin Kelly,1 h 48 m,Biography
Resurrecting the Champ,2007-08-24,6.7,6,Rod Lurie,1 h 52 m,Drama
Hyde Park on Hudson,2012-12-07,5.8,27,Roger Michell,1 h 34 m,Biography
Turn the River,2008-05-09,5.5,4,Chris Eigeman,1 h 32 m,Drama
Old,2021-07-23,5.3,226,M. Night Shyamalan,1 h 48 m,Drama
Demon Seed,1977-04-15,6.3,6,Donald Cammell,1 h 34 m,Horror
Dark Shadows,2012-05-11,6.0,496,Tim Burton,1 h 53 m,Comedy
Purple Rain,1984-07-27,7.0,31,Albert Magnoli,1 h 51 m,Drama
The Fall of the American Empire,2019-05-31,6.6,13,Denys Arcand,2 h 7 m,Comedy
Ip Man: The Final Fight,2013-09-20,5.2,11,Herman Yau,1 h 40 m,Action
We Summon the Darkness,2020-04-10,4.7,18,Marc Meyers,1 h 31 m,Horror
Eagle vs Shark,2007-06-15,6.9,27,Taika Waititi,1 h 28 m,Comedy
The Taking of Pelham 1 2 3,2009-06-12,6.4,127,Tony Scott,1 h 46 m,Action
Below,2002-10-11,6.5,30,David Twohy,1 h 45 m,Action
Camp,2003-07-25,7.0,10,Todd Graff,1 h 54 m,Comedy
Street Kings,2008-04-11,6.8,63,David Ayer,1 h 49 m,Action
Money Monster,2016-05-13,6.6,198,Jodie Foster,1 h 38 m,Action
Yesterday,2019-06-28,6.2,249,Danny Boyle,1 h 56 m,Comedy
An American Werewolf in London,1981-08-21,7.8,123,John Landis,1 h 37 m,Comedy
Ambulance,2022-04-08,5.5,142,Michael Bay,2 h 16 m,Action
The Purge: Election Year,2016-07-01,5.9,245,James DeMonaco,1 h 48 m,Action
Seven Years in Tibet,1997-10-08,7.3,80,Jean-Jacques Annaud,2 h 16 m,Adventure
JFK Revisited: Through The Looking Glass,2021-11-12,7.8,10,Oliver Stone,1 h 58 m,Documentary
The Boogeyman,2023-06-02,5.7,79,Rob Savage,1 h 38 m,Horror
Nancy Drew and the Hidden Staircase,2019-03-15,5.6,14,Katt Shea,1 h 29 m,Comedy
Valmont,1989-11-17,7.6,24,Milos Forman,2 h 17 m,Drama
Dominion: Prequel to the Exorcist,2005-05-20,5.5,23,Paul Schrader,1 h 57 m,Drama
Love at First Sight,2023-09-15,5.8,24,Vanessa Caswill,1 h 30 m,Drama
Wendy,2020-02-28,6.7,13,Benh Zeitlin,1 h 51 m,Drama
The Greatest Game Ever Played,2005-09-30,8.1,19,Bill Paxton,2 h,Biography
The Craft,1996-05-03,7.9,105,Andrew Fleming,1 h 41 m,Drama
Hellion,2014-06-13,6.8,18,Kat Candler,1 h 34 m,Drama
I Can Do Bad All by Myself,2009-09-11,5.1,15,Tyler Perry,1 h 53 m,Comedy
A Lot of Nothing,2023-02-03,9.5,284,Mo McRae,1 h 44 m,Comedy
The Boy in the Striped Pajamas,2008-11-07,7.2,161,Mark Herman,1 h 34 m,Drama
P.S.,2004-10-15,4.8,9,Dylan Kidd,1 h 37 m,Comedy
Dhobi Ghat (Mumbai Diaries),2011-01-21,4.2,9,Kiran Rao,1 h 40 m,Drama
Kids in the Hall: Brain Candy,1996-04-19,6.7,6,Kelly Makin,1 h 29 m,Comedy
Veronica Guerin,2003-10-17,6.5,26,Joel Schumacher,1 h 32 m,Biography
The Truth About Charlie,2002-10-25,6.3,8,Jonathan Demme,1 h 44 m,Mystery
8: The Mormon Proposition,2010-06-18,7.8,8,"Reed Cowan 
    
      Steven Greenstreet",1 h 20 m,Documentary
2 Guns,2013-08-02,6.6,257,Baltasar Kormákur,1 h 49 m,Action
Legend,2015-11-20,8.3,353,Brian Helgeland,2 h 12 m,Biography
Legend,1986-04-18,8.3,353,Brian Helgeland,2 h 12 m,Biography
About Time,2013-11-01,8.5,584,Richard Curtis,2 h 3 m,Comedy
Mao's Last Dancer,2010-08-20,5.6,18,Bruce Beresford,1 h 57 m,Biography
Nim's Island,2008-04-04,8.5,83,"Jennifer Flackett 
    
      Mark Levin",1 h 36 m,Adventure
The Hundred-Foot Journey,2014-08-08,6.9,112,Lasse Hallström,2 h 2 m,Comedy
Darshan: The Embrace,2006-07-26,4.9,7,Jan Kounen,1 h 32 m,Documentary
Aquaman,2018-12-21,7.0,1671,James Wan,2 h 23 m,Action
Arkansas,2020-05-05,5.3,22,Clark Duke,1 h 57 m,Action
Tenacious D in The Pick of Destiny,2006-11-22,7.7,115,Liam Lynch,1 h 33 m,Adventure
Violent Night,2022-12-02,6.6,148,Tommy Wirkola,1 h 41 m,Action
Irina Palm,2008-03-21,7.8,6,Sam Garbarski,1 h 43 m,Comedy
Love Actually,2003-11-07,8.4,384,Richard Curtis,2 h 15 m,Comedy
Viktoria,2016-04-29,2.2,5,Maya Vitkova,2 h 35 m,Drama
3,2011-09-16,6.2,9,Tom Tykwer,1 h 59 m,Comedy
The Command,2019-06-21,4.7,15,Thomas Vinterberg,1 h 57 m,Action
The Gambler,2014-12-25,5.5,114,Rupert Wyatt,1 h 51 m,Crime
Mr. Harrigan's Phone,2022-10-05,5.9,35,John Lee Hancock,1 h 44 m,Drama
Bustin' Loose,1981-05-22,6.3,4,"Oz Scott 
    
      Michael Schultz",1 h 34 m,Comedy
The Flash,2023-06-16,5.5,647,Andy Muschietti,2 h 24 m,Action
52 Pick-Up,1986-11-07,5.8,4,John Frankenheimer,1 h 50 m,Crime
The Acid House,1999-08-06,7.8,4,Paul McGuigan,1 h 51 m,Comedy
Spirited,2022-11-11,6.1,81,Sean Anders,2 h 7 m,Comedy
Zombieland: Double Tap,2019-10-18,6.5,355,Ruben Fleischer,1 h 39 m,Action
Promised Land,2012-12-28,6.0,72,Gus Van Sant,1 h 46 m,Drama
Agora,2010-05-28,7.2,82,Alejandro Amenábar,2 h 7 m,Adventure
The Croods,2013-03-22,6.2,426,"Kirk DeMicco 
    
      Chris Sanders",1 h 38 m,Animation
Rio Lobo,1970-12-18,5.0,7,Howard Hawks,1 h 54 m,Drama
I Heart Huckabees,2004-10-01,6.3,69,David O. Russell,1 h 47 m,Comedy
